Invoice ID,Date,Quarter,Month_Name,Is_Weekend,Time,Shopping_Period,Store_Name,Branch,Store_Size,City,Customer type,Membership_Level,Gender,Age_Group,Product line,Eco_Premium,Unit price,Quantity,Tax 5%,Sales,Payment,cogs,gross margin percentage,gross income,Rating,Is_Holiday_Season,Is_Promotion
750-67-8428,2025-01-05,Q1,一月,True,13:08:00,午餐,全聯板橋店,全聯,中型,新北市,Member,銀卡會員,Female,56-65,美妝保養,True,2240.7,7,784.25,16469.15,電子支付,15684.9,4.761904762,784.25,9.1,True,False
226-31-3081,2025-03-08,Q1,三月,True,10:29:00,早晨,大潤發古亭店,大潤發,大型,台北市,Member,一般會員,Female,36-45,3C配件,False,426.77,5,106.69,2240.54,現金,2133.85,4.761904762,106.69,9.6,False,True
631-41-3108,2025-03-03,Q1,三月,False,13:23:00,午餐,全聯三重店,全聯,中型,高雄市,Member,銀卡會員,Female,46-55,居家生活,True,1389.9,7,486.46,10215.77,信用卡,9729.3,4.761904762,486.46,7.4,False,False
123-19-1176,2025-01-27,Q1,一月,False,20:33:00,夜間,美廉社板橋店,美廉社,小型,台南市,Member,一般會員,Female,56-65,美妝保養,True,1613.86,8,645.54,13556.41,電子支付,12910.87,4.761904762,645.54,8.4,True,True
373-73-7910,2025-02-08,Q1,二月,True,10:37:00,早晨,全聯忠孝店,全聯,中型,高雄市,Member,一般會員,Female,36-45,運動休閒,False,2589.3,7,906.25,19031.35,電子支付,18125.1,4.761904762,906.25,5.3,False,True
699-14-3026,2025-03-25,Q1,三月,False,18:30:00,晚餐,愛買大直店,愛買,大型,台北市,Member,一般會員,Female,18-25,3C配件,False,2334.73,7,817.16,17160.29,電子支付,16343.13,4.761904762,817.16,4.1,False,False
355-53-5943,2025-02-25,Q1,二月,False,14:36:00,下午,好市多中和店,好市多,大型,桃園市,Member,金卡會員,Female,26-35,3C配件,False,2327.48,6,698.24,14663.13,電子支付,13964.88,4.761904762,698.24,5.8,False,False
315-22-5665,2025-02-24,Q1,二月,False,11:38:00,午餐,全聯一中店,全聯,中型,台中市,Member,一般會員,Female,46-55,居家生活,True,2206.8,10,1103.4,23171.4,電子支付,22068.0,4.761904762,1103.4,8.0,False,False
665-32-9167,2025-01-10,Q1,一月,False,17:15:00,晚餐,大潤發板橋店,大潤發,大型,台北市,Normal,非會員,Female,18-25,美妝保養,True,1012.74,2,101.27,2126.76,信用卡,2025.48,4.761904762,101.27,7.2,True,True
692-92-5582,2025-02-20,Q1,二月,False,13:27:00,午餐,好市多台中店,好市多,大型,高雄市,Member,金卡會員,Female,56-65,食品飲料,False,1854.14,3,278.12,5840.54,信用卡,5562.42,4.761904762,278.12,5.9,False,False
351-62-0822,2025-02-06,Q1,二月,False,18:07:00,晚餐,好市多中和店,好市多,大型,桃園市,Member,VIP會員,Female,26-35,時尚配件,False,489.57,4,97.91,2056.19,電子支付,1958.28,4.761904762,97.91,4.5,False,False
529-56-3974,2025-03-09,Q1,三月,True,17:03:00,晚餐,家樂福桂林店,家樂福,大型,台中市,Normal,非會員,Female,18-25,3C配件,False,764.99,4,153.0,3212.97,現金,3059.98,4.761904762,153.0,6.8,False,False
365-64-0515,2025-02-12,Q1,二月,False,10:25:00,早晨,愛買水湳店,愛買,大型,台中市,Member,一般會員,Female,36-45,3C配件,False,1283.71,5,320.93,6739.46,電子支付,6418.53,4.761904762,320.93,7.1,False,True
252-56-2699,2025-02-07,Q1,二月,False,16:48:00,下午,好市多高雄店,好市多,大型,新北市,Member,VIP會員,Female,56-65,食品飲料,False,1460.25,10,730.13,15332.67,電子支付,14602.54,4.761904762,730.13,8.2,False,False
829-34-3910,2025-03-29,Q1,三月,True,19:21:00,晚餐,好市多岡山店,好市多,大型,桃園市,Member,金卡會員,Female,36-45,美妝保養,True,2413.36,10,1206.68,25340.26,現金,24133.58,4.761904762,1206.68,5.7,False,True
299-46-1805,2025-01-15,Q1,一月,False,16:19:00,下午,楓康台中店,楓康,中型,台中市,Member,銀卡會員,Female,36-45,運動休閒,False,2699.14,6,809.74,17004.56,現金,16194.82,4.761904762,809.74,4.5,True,True
656-95-9349,2025-03-11,Q1,三月,False,11:03:00,午餐,家樂福台中店,家樂福,大型,台中市,Normal,非會員,Female,36-45,美妝保養,True,2067.07,7,723.48,15192.99,信用卡,14469.51,4.761904762,723.48,4.6,False,True
765-26-6951,2025-01-01,Q1,一月,False,10:39:00,早晨,大潤發景平店,大潤發,大型,新北市,Member,一般會員,Female,18-25,運動休閒,False,2028.0,6,608.4,12776.38,信用卡,12167.98,4.761904762,608.4,6.9,True,True
329-62-1586,2025-01-21,Q1,一月,False,18:00:00,晚餐,全聯中和店,全聯,中型,新北市,Normal,非會員,Female,26-35,食品飲料,False,1640.1,3,246.01,5166.31,信用卡,4920.3,4.761904762,246.01,8.6,True,True
319-50-3348,2025-03-11,Q1,三月,False,15:30:00,下午,楓康三重店,楓康,中型,台中市,Normal,非會員,Female,18-25,居家生活,True,1160.64,2,116.06,2437.34,電子支付,2321.28,4.761904762,116.06,4.4,False,True
300-71-4605,2025-02-25,Q1,二月,False,11:24:00,午餐,家樂福板橋店,家樂福,大型,新北市,Member,一般會員,Female,46-55,3C配件,False,2580.17,5,645.04,13545.88,電子支付,12900.84,4.761904762,645.04,4.8,False,False
371-85-5789,2025-03-05,Q1,三月,False,10:40:00,早晨,大潤發中和店,大潤發,大型,台北市,Normal,非會員,Female,26-35,美妝保養,True,2457.28,3,368.59,7740.44,電子支付,7371.84,4.761904762,368.59,5.1,False,False
273-16-6619,2025-03-15,Q1,三月,True,12:20:00,午餐,美廉社中正店,美廉社,小型,台中市,Normal,非會員,Female,46-55,居家生活,True,920.3,2,92.03,1932.64,信用卡,1840.61,4.761904762,92.03,4.4,False,False
636-48-8204,2025-02-17,Q1,二月,False,11:15:00,午餐,大潤發中和店,大潤發,大型,新北市,Member,一般會員,Female,26-35,3C配件,False,965.26,5,241.32,5067.62,電子支付,4826.3,4.761904762,241.32,9.9,False,False
549-59-1358,2025-03-01,Q1,三月,True,17:36:00,晚餐,全聯南京店,全聯,中型,台中市,Member,一般會員,Female,46-55,運動休閒,False,2658.9,3,398.83,8375.53,電子支付,7976.7,4.761904762,398.83,6.0,False,False
227-03-5010,2025-03-22,Q1,三月,True,19:20:00,晚餐,大潤發安和店,大潤發,大型,新北市,Member,一般會員,Female,46-55,居家生活,True,1468.84,8,587.54,12338.25,信用卡,11750.71,4.761904762,587.54,8.5,False,True
